"Session","Exercise Name","Exercise Description","Repetitions","Sets","Load","Recovery Time","Video Explanation","Phase Name","Phase Dates","Phase Image","Player Image","Overview","Week","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","Monday Colour","Tuesday Colour","Wednesday Colour","Thursday Colour","Friday Colour","Saturday Colour","Sunday Colour","Notes","ID","Created Date","Updated Date","Owner"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"086b1017-dfde-4dfa-9169-534b3e8f3156",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""A""]","Side Plank ISO Hold","Lie on your side with legs extended and feet stacked. Place your elbow directly under your shoulder and forearm flat on the ground. Lift your hips off the floor to form a straight line from head to feet. Hold this position, keeping hips square and core braced. Avoid sagging at the hips or rolling forward/backward. Maintain steady breathing throughout the hold.","60s (30s each side)","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"096ed0b3-248d-4238-bf0a-daa4e2cfeee0",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0c075367-698a-4e75-8e30-70788f6fc5af",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""A""]","Copenhagen Side Bridge","Lie sideways next to a bench or box and support yourself on your forearm with elbow under shoulder. Place your top leg on the bench with the knee bent at 90 degrees, so the inner thigh rests on the surface. Keep the bottom leg hanging freely beneath. Lift your hips off the floor into a side plank position, forming a straight line from head to knee. Hold the position, keeping hips square and core braced, focusing on adductor engagement.","40s (20s each side)","1","'-","'-",,,,,,,"14th April","<h4 class=""font_4"">A</h4>","<h4 class=""font_4"">B</h4>",,"<h4 class=""font_4"">C</h4>",,,,"wix:image://v1/c4f4b1_66363ee3f4b34b46b043e9fd7b4a0cc9~mv2.png/Session%20A%20(2).png#originWidth=2000&originHeight=1166","wix:image://v1/c4f4b1_84429ac03f3f41fba6211548e6a532c9~mv2.png/Session%20B%20(2).png#originWidth=2000&originHeight=1166",,"wix:image://v1/c4f4b1_7951c8387f6246988fb060ff76188d3d~mv2.png/Session%20C.png#originWidth=2000&originHeight=1166",,,,,"0ca6e81f-dc6f-49a7-88f0-c9095d2b7d32",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""A""]","Glute Bridge with Adductor Squeeze","Perform a glute bridge while squeezing a yoga block or medicine ball between your knees to engage the adductors and stabilise the pelvis. Hold the top position for 3 seconds.","10","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"0dd0ce57-7d85-47e8-93f7-9efcd7357d3f",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1c435bdc-3d41-4082-9a16-8d27f9459db7",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""A""]","Bear ISO with Knee Taps","Begin in a bear crawl position with hands under shoulders and knees bent at 90 degrees, hovering a few centimetres off the floor. Hold this iso position with core braced and back flat. From here, lift one hand and tap the opposite knee lightly without shifting hips or letting the torso rotate. Return the hand to the ground and repeat on the other side, alternating taps while maintaining full-body stability.","24 (12 each side)","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"1cf2f28a-eae3-4f07-9a9b-b5dcab07cb38",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1d3d7451-60f9-4013-9d69-45a56d8be68e",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1ffa9e50-6a52-4095-8456-cfa80e07aadc",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""A""]","Bird Dog with Lateral Reach","Begin on all fours with hands under shoulders and knees under hips. Extend one arm forward and the opposite leg straight back until both are parallel to the floor. From the extended position, move the arm slowly out to the side in a lateral reach while keeping hips and shoulders square. Return the arm to the forward position, then lower back to start. Maintain core tension and balance throughout.","16 (8 each side)","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"205e84c0-f8c3-4095-adea-801db8ba6936",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""A""]","Standing Calf Contractions (Slow Tempo)","Stand tall with feet hip-width apart, hands resting on a wall or support for balance if needed. Press through the balls of your feet to rise slowly onto your toes, fully contracting the calves. Pause briefly at the top, then lower under full control to a deep stretch in the heels. Maintain a deliberate, slow tempo throughout, focusing on maximum tension and controlled range of motion.","12","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"21e1f62a-2444-4160-877a-7b3b5034e6e5",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-B""]","Active Hamstring Stretch with Band","Lie on your back with one leg extended on the ground and the other raised, looped with a resistance band around the foot. Gently pull the band to bring the raised leg towards you until you feel a stretch in the hamstring. From here, actively push the foot slightly against the band, then relax and pull a little further. Repeat this contract-relax action while keeping the opposite leg flat.","8 (4 each side)","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"268c8ba8-5155-45a6-88fa-ba030644d6d2",2025-06-13T14:49:56Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-B""]","Banded Groin Rocks","Anchor a resistance band low to the ground and loop it high on the inside of one thigh, stepping out to create tension. Get into an all-fours or half-kneeling position with the band pulling laterally. From here, rock your hips gently back and forth while keeping the banded leg abducted. Move slowly to mobilise and activate the groin, maintaining core stability and upright posture.","16 (8 each side)","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"26dd3184-b8c8-43dc-ac31-1324f8a1b6ca",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""D""]","Ankle Dribbles","Stand with a slight forward lean and keep your core engaged. Perform quick, light foot taps, ensuring your toes stay just off the ground and your ankle remains stiff. The movement should be short and reactive, promoting efficient ground contact and proper sprint foot mechanics.","30","2","'-","60s",,,,,,,,,,,,,,,,,,,,,,,"2a456958-bb02-493f-a96f-d1883a21f1b5",2025-01-23T01:42:18Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-B""]","Inchworm Walkouts","Start in a half-squat position with feet shoulder-width apart and chest upright. Hinge forward at the hips, place your hands on the floor, and walk them forward step by step until you reach an extended plank position. Hold briefly, then walk your hands back towards your feet and return to the half-squat position. Keep your hips controlled throughout and avoid letting them sag during the plank phase.","60s (30s each side)","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"2a7c8480-0c94-4529-a3fb-444beaf714fc",2025-03-09T22:11:38Z,2025-09-26T01:45:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2b2bff69-0952-4035-8216-c22af08d229c",2025-01-23T01:42:18Z,2025-03-09T22:10:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
