"Session","Exercise Name","Exercise Description","Repetitions","Sets","Load","Recovery Time","Video Explanation","Phase Name","Phase Dates","Phase Image","Player Image","Overview","Week","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","Monday Colour","Tuesday Colour","Wednesday Colour","Thursday Colour","Friday Colour","Saturday Colour","Sunday Colour","Notes","ID","Created Date","Updated Date","Owner"
"[""C""]","Stiff Skips into Sprint","Stand tall and perform stiff-legged skips by driving one knee upward sharply while keeping the opposite leg straight, landing on the ball of the foot. Continue for four or five skips, then transition immediately into a forward sprint. Keep posture tall and foot contacts quick to prime sprint mechanics.","4","3","90s","'-",,,,,,,,,,,,,,,,,,,,,,,"01ba169c-5f8c-4a62-a52b-1514660e7fc2",2025-01-28T15:59:28Z,2025-09-02T17:37:31Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""D""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"070eb7da-83a0-46e1-a938-d72ff1e2e4f5",2025-01-28T15:59:28Z,2025-09-05T13:23:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-B""]","Standing Hip Circles","Stand tall with your feet hip-width apart and hands placed on your hips or at your sides for balance. Shift your weight slightly onto one leg while lifting the opposite knee to about hip height. From this position, draw a large, controlled circular motion with your lifted knee, moving outward and then downward before bringing it back to the starting position. Reverse the movement after completing all reps in one direction. Keep your core engaged, and ensure your hips remain square to the front without excessive torso movement. ","20 (10 each side)","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"082ef899-c99e-4a2b-9802-92b243824f01",2025-06-02T20:22:33Z,2025-07-22T20:19:14Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-C""]","Band External Rotations","Attach a resistance band to a sturdy anchor at elbow height. Stand sideways to the anchor and hold the band with your outside hand. Keeping your elbow tucked to your side at 90 degrees, rotate your forearm outward against the band’s resistance. Hold the end range briefly before slowly returning to the start. Avoid using your shoulder or upper body to assist; the movement should come from the rotator cuff muscles.","12 (6 each side)","1","Light-Resistance Bnad","'-",,,,,,,,,,,,,,,,,,,,,,,"084d01f1-08b6-4dcf-ba16-62e4bf475116",2025-01-29T03:41:37Z,2025-07-22T20:20:05Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""A""]","Isometric Glute Bridge with March","Lie flat with knees bent and feet hip-width apart. Lift hips into a full bridge and hold. While keeping hips completely level, raise one knee slowly towards the chest over 3 seconds. Pause briefly, then return over 3 seconds. Alternate sides. Avoid any hip drop, twist or trunk movement during each march.","10 (5 each side)","3","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"0c075367-698a-4e75-8e30-70788f6fc5af",2025-01-28T15:59:28Z,2025-07-22T20:19:28Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,"Rhythm Repeat Squat","Place a barbell on your back. Drop as fast as possible into a 90 degree angle from the floor. Stop as quickly as possible at this point, then push upwards with force. Try to get into a consistent rhythm for the entire reps in the set.","4","4","100kg**","Full",,,,,,,,,,,,,,,,,,,,,,,"0e417c23-dfcd-4c11-80c7-5f3698cd5278",2025-01-28T15:59:28Z,2025-09-02T17:37:09Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""B""]","Deceleration Lunge - Med Ball Throw and Leap","Hold a medicine ball at chest height and start in a split squat position. Bring you front foot up off the ground and out in front. Let gravity drop you into a deep lunge position while at the same time, extending the arms and forcefully pushing the med ball as far as possible straight ahead. Maintain balance and stability in the lunge position, keeping the chest tall and knee aligned over the foot. Focus on controlled deceleration with a strong, direct throw.","6 (3 each side)","3","6kg","60s",,,,,,,,,,,,,,,,,,,,,,,"13720fdf-1d20-4d28-b381-392dfa1e2972",2025-01-29T03:41:29Z,2025-09-05T13:20:25Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""H""]","Nothing unless under 60 minutes match time",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1b11dd7b-3c70-4495-8545-f988374c5685",2025-07-19T19:33:16Z,2025-07-19T20:37:10Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Power Testing""]","Overhead Throw","Stand facing away from the throwing direction with an 8kg medicine ball held in both hands. Plant your feet shoulder-width apart. Squat slightly to generate power, then explosively drive through your legs and hips while throwing the ball overhead and backwards as far as possible. Use a strong upward and backward motion with your arms to maximise the throw distance. Maintain control of your body throughout the movement and ensure a safe area behind you for the throw.","1",,"'-","Full",,,,,,,,,,,,,,,,,,,,,,,"1c435bdc-3d41-4082-9a16-8d27f9459db7",2025-01-28T15:59:28Z,2025-02-11T04:46:17Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""A""]","Single-Leg Wall Sit with Overhead Reach","Lean against a wall in a seated position with thighs parallel to the floor. Extend one leg straight out in front of you while holding the wall sit on the other. Reach both arms overhead and hold. Keep your lower back pressed into the wall and avoid arching. Maintain even pressure through the planted foot and focus on stability in both the hips and shoulders.","10 (5 each side)","2","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"1cb24d66-6009-4297-99ad-bbf0c5126444",2025-01-28T15:59:28Z,2025-06-02T20:52:54Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
